SAR VH backscatter in dB,SAR VV backscatter in dB,incidence angle in degrees,volumetric soil moisture content
-111.44088115464952,-36.46728548349717,30,0.01
-87.61293100048954,-23.66693625701551,30,0.035
-81.51978214426117,-20.147726577063562,30,0.06
-78.33816802830907,-18.2439517001676,30,0.085
-76.29448426555169,-16.99262842285614,30,0.11
-74.8347295280489,-16.083848825483496,30,0.135
-73.72144346335494,-15.381833426647585,30,0.16
-72.83348174638994,-14.81611354522111,30,0.185
-72.10166520425187,-14.34588281680214,30,0.21
-71.48321204994333,-13.945609534775219,30,0.235
-70.95003914888704,-13.598365906080435,30,0.26
-70.48283479313477,-13.292409726317576,30,0.285
-70.06781374895488,-13.019294396194717,30,0.31
-69.69482914859105,-12.772759642026175,30,0.335
-69.35621879829081,-12.548048529757654,30,0.36
-69.0460719310228,-12.341470512318871,30,0.385
-68.75974870526956,-12.150113546203107,30,0.41
-68.49355881396315,-11.971650840838905,30,0.435
-68.24454533382362,-11.804210840467624,30,0.46
-68.01034252112905,-11.646292252146967,30,0.485
-67.78908969908775,-11.496713893744781,30,0.51
-67.57939127987241,-11.354593842789498,30,0.535
-67.38031607033591,-11.21935409318801,30,0.56
-67.19142554611668,-11.090744305606282,30,0.585
-67.01280712720218,-10.968868658604688,30,0.61
-66.84506377240321,-10.854182519563365,30,0.635
-66.6891897471182,-10.747410371754203,30,0.66
-66.54628438869453,-10.649350918139987,30,0.685
-66.41715544442457,-10.560603795061276,30,0.71
-66.30198441594827,-10.481336524489606,30,0.735
-66.200225466867,-10.411211307712943,30,0.76
-66.11075448279807,-10.349485069871955,30,0.785
-66.03213755503249,-10.295193665787592,30,0.81
-95.74314778085721,-29.90010491629708,30,0.01
-71.91507107378656,-17.14082503615819,30,0.035
-65.82190854203998,-13.639366151798622,30,0.06
-62.640298721111385,-11.745416299133687,30,0.085
-60.59662337054502,-10.500325531774074,30,0.11
-59.13687779302877,-9.595852261373475,30,0.135
-58.02360064809114,-8.896991929954028,30,0.16
-57.135647321050314,-8.333684656006824,30,0.185
-56.403838582635856,-7.865360016009061,30,0.21
-55.785392670743306,-7.4666319815550075,30,0.235
-55.25222650207114,-7.120667560871422,30,0.26
-54.78502842550078,-6.815788897507598,30,0.285
-54.37001326181579,-6.543594604049502,30,0.31
-53.99703419277042,-6.297857100631123,30,0.335
-53.65842906852205,-6.073843674823967,30,0.36
-53.34828716056012,-5.867882095643921,30,0.385
-53.06196866095792,-5.677074409078235,30,0.41
-52.79578329175738,-5.499104812949232,30,0.435
-52.546774154612315,-5.3321104064863345,30,0.46
-52.31257552662579,-5.174596745961947,30,0.485
-52.09132674746457,-5.025388052725726,30,0.51
-51.88163224071889,-4.883606600727617,30,0.535
-51.68256081846345,-4.748677523690637,30,0.56
-51.49367395378925,-4.620352660024082,30,0.585
-51.315059054765754,-4.498737487429797,30,0.61
-51.14731905826056,-4.384287933334851,30,0.635
-50.991448199538596,-4.277728573758003,30,0.66
-50.8485457831725,-4.179858167055062,30,0.685
-50.719419529458065,-4.091276851222172,30,0.71
-50.60425092648515,-4.0121534140944615,30,0.735
-50.50249414070703,-3.942152078767805,30,0.76
-50.413025074434714,-3.880532265135914,30,0.785
-50.33440984397039,-3.8263324345801655,30,0.81
-88.89572440474615,-27.141649924879026,30,0.01
-65.06760826060469,-14.445717994297652,30,0.035
-58.974441466913675,-10.972934268497303,30,0.06
-55.792832984222834,-9.09513577269526,30,0.085
-53.74916025497848,-7.860387764572701,30,0.11
-52.28941753185859,-6.963103474218571,30,0.135
-51.17614316648185,-6.269531940845264,30,0.16
-50.28819245391002,-5.710281131528079,30,0.185
-49.556386147301296,-5.245168748783943,30,0.21
-48.9379424923051,-4.849049643674036,30,0.235
-48.404778421596426,-4.50524820568992,30,0.26
-47.93758230176472,-4.202193744930234,30,0.285
-47.522568970580835,-3.9315603677506434,30,0.31
-47.14959162522699,-3.6871752046547535,30,0.335
-46.8109881295434,-3.464346150774862,30,0.36
-46.5008477670232,-3.2594317304016283,30,0.385
-46.21453074020707,-3.0695576797508735,30,0.41
-45.94834678020807,-2.8924266940434817,30,0.435
-45.69933899644985,-2.7261904561324224,30,0.46
-45.4651416725249,-2.5693660721539735,30,0.485
-45.24389415322876,-2.420786880232639,30,0.51
-45.03420086570958,-2.2795822358076725,30,0.535
-44.8351306236692,-2.145182568813214,30,0.56
-44.64624489940472,-2.017343384957522,30,0.585
-44.467631097271564,-1.8961723390097664,30,0.61
-44.29989214729918,-1.7821262804202285,30,0.635
-44.14402227536205,-1.6759299139646102,30,0.66
-44.00112077581926,-1.5783820661414651,30,0.685
-43.87199536055364,-1.4900837077566123,30,0.71
-43.75682751343243,-1.4112057673543865,30,0.735
-43.65507140179758,-1.3414159031339308,30,0.76
-43.56560293316222,-1.2799777815255897,30,0.785
-43.48698823162269,-1.225934304944727,30,0.81
-85.32433951301047,-24.89678907737602,30,0.01
-61.4962081585705,-12.273904320548468,30,0.035
-55.403039721072524,-8.835379966441687,30,0.06
-52.221431754495924,-6.977173600414906,30,0.085
-50.177760036241246,-5.755080599560313,30,0.11
-48.71801841400958,-4.8666419946929205,30,0.135
-47.604745120661306,-4.179603839867546,30,0.16
-46.71679541644654,-3.6253788288374444,30,0.185
-45.984990047745775,-3.1642553681229875,30,0.21
-45.36654726319854,-2.7713818683477176,30,0.235
-44.833384001641505,-2.4302752558607934,30,0.26
-44.36618863649363,-2.1294963519660284,30,0.285
-43.951176012077376,-1.8608121428758648,30,0.31
-43.578199331525205,-1.6181172132148156,30,0.335
-43.239596463954584,-1.3967696155062277,30,0.36
-42.929456697488185,-1.1931659214311918,30,0.385
-42.64314023870382,-1.0044612138316027,30,0.41
-42.3769568222131,-0.8283811283101559,30,0.435
-42.12794956043634,-0.6630954518325239,30,0.46
-41.893752739468944,-0.5071356396420195,30,0.485
-41.672505706084486,-0.35934636216794813,30,0.51
-41.46281288880334,-0.21886577871154544,30,0.535
-41.26374310195494,-0.08513090054266653,30,0.56
-41.07485781753014,0.04209821743250633,30,0.585
-40.89624443845193,0.1627112337504946,30,0.61
-40.728505892112366,0.2762501826703307,30,0.635
-40.57263640076415,0.3819902354150836,30,0.66
-40.429735254827136,0.47913251375830923,30,0.685
-40.30061016293941,0.5670750295981963,30,0.71
-40.18544260733955,0.6456441875109951,30,0.735
-40.08368675571229,0.7151680290266758,30,0.76
-39.99421851757714,0.7763775614122121,30,0.785
-39.91560402003648,0.8302243065808663,30,0.81
-111.68441067427122,-36.59638415503,32,0.01
-87.8614597681592,-23.77459110359017,32,0.035
-81.77137470419056,-20.24237399360522,32,0.06
-78.59144257868476,-18.328416267067084,32,0.085
-76.54870967520546,-17.06872382533463,32,0.11
-75.08949570417008,-16.152872187545672,32,0.135
-73.97650535828511,-15.444754646258598,32,0.16
-73.08868527417842,-14.873680165108548,32,0.185
-72.35690952205309,-14.398684814662479,32,0.21
-71.73842903429217,-13.994121567113446,32,0.235
-71.20518158080986,-13.64297591869683,32,0.26
-70.73786922934562,-13.333438937328143,32,0.285
-70.32271604773582,-13.05701162474213,32,0.31
-69.94958156684903,-12.807391823300762,32,0.335
-69.61080805439173,-12.579788597577224,32,0.36
-69.30048788185036,-12.37048343455073,32,0.385
-69.01398342721295,-12.176541056290382,32,0.41
-68.74760595992807,-11.995615261504662,32,0.435
-68.49839968914725,-11.82581831096413,32,0.46
-68.26399971504361,-11.665635630433325,32,0.485
-68.04254605324098,-11.513875598876162,32,0.51
-67.83264379558236,-11.369648918947348,32,0.535
-67.63336257220494,-11.232373790514494,32,0.56
-67.44426500612488,-11.1018004266416,32,0.585
-67.26544017641466,-10.978038702168414,32,0.61
-67.09749334582366,-10.861555129640319,32,0.635
-66.941421693792,-10.753089775461396,32,0.66
-66.79832776756976,-10.653458385869769,32,0.685
-66.6690222468833,-10.563274607632797,32,0.71
-66.55368869078578,-10.482712858923085,32,0.735
-66.45178213043168,-10.411433555922684,32,0.76
-66.36217821134456,-10.348684524027643,32,0.785
-66.28344201610022,-10.293488141607911,32,0.81
-95.95101345338243,-29.965227840669797,32,0.01
-72.12793031983868,-17.1834953800546,32,0.035
-66.03783086482049,-13.669595880071304,32,0.06
-62.857903154385,-11.765957708764475,32,0.085
-60.81517899242114,-10.512869713489595,32,0.11
-59.35597456016523,-9.601605925427286,32,0.135
-58.24299351233297,-8.896861863728294,32,0.16
-57.35518217950596,-8.328373721611067,32,0.185
-56.623414570840325,-7.855425738120113,32,0.21
-56.004941643348715,-7.452524830545922,32,0.235
-55.47170121960751,-7.102757032695038,32,0.26
-55.004395426113106,-6.794381845223626,32,0.285
-54.58924838722885,-6.518948460683416,32,0.31
-54.21611968524601,-6.270189634543063,32,0.335
-53.87735163352698,-6.043340337743828,32,0.36
-53.567036643642545,-5.834701673397079,32,0.385
-53.28053712855593,-5.641353470260055,32,0.41
-53.01416438803932,-5.46096132015434,32,0.435
-52.76496265722634,-5.291646780212743,32,0.46
-52.53056705799488,-5.131902637732347,32,0.485
-52.309117623121956,-4.980543081931154,32,0.51
-52.09921945634318,-4.8366833285117625,32,0.535
-51.89994219321701,-4.699744952961071,32,0.56
-51.71084845406079,-4.569480506560731,32,0.585
-51.53202730545061,-4.44600125361092,32,0.61
-51.36408398715432,-4.3297742972715545,32,0.635
-51.20801564706219,-4.221539789614769,32,0.66
-51.06492479810906,-4.122113523625361,32,0.685
-50.93562209174803,-4.032109678689802,32,0.71
-50.8202910728246,-3.951704036822357,32,0.735
-50.71838677544609,-3.8805592005950755,32,0.76
-50.62878486257343,-3.817925697221718,32,0.785
-50.550050442926484,-3.7628287300867056,32,0.81
-89.04266735733842,-27.154379199525955,32,0.01
-65.21954230789454,-14.43063748688417,32,0.035
-59.129438290619845,-10.945213676043933,32,0.06
-55.94951197954133,-9.058005173896499,32,0.085
-53.90679058848349,-7.815563339948594,32,0.11
-52.44758917991013,-6.911752100311289,32,0.135
-51.334611079479124,-6.212516830539133,32,0.16
-50.44680252074623,-5.648268312311737,32,0.185
-49.715037493509854,-5.178686267577135,32,0.21
-49.096566962586394,-4.778524607472931,32,0.235
-48.56332876724358,-4.4310315112299605,32,0.26
-48.09602505260194,-4.124577302468393,32,0.285
-47.68087996094256,-3.850789478082036,32,0.31
-47.307753090856785,-3.603457681171328,32,0.335
-46.96898677017921,-3.377859193691748,32,0.36
-46.65867342318685,-3.1703272203774384,32,0.385
-46.372175473929616,-2.9779663542402384,32,0.41
-46.105804231792,-2.7984615476960535,32,0.435
-45.856603940143685,-2.6299496383016736,32,0.46
-45.622209727742785,-2.470935525314701,32,0.485
-45.40076163280371,-2.3202429639862747,32,0.51
-45.19086476283191,-2.1769946019937154,32,0.535
-44.99158875510426,-2.04061757073739,32,0.56
-44.80249622908251,-1.9108682619105086,32,0.585
-44.62367624738129,-1.787860207830227,32,0.61
-44.45573404248324,-1.6720614538434972,32,0.635
-44.29966675227717,-1.5642122564837957,32,0.66
-44.156576878819926,-1.4651284522928956,32,0.685
-44.02727506460184,-1.3754250796275416,32,0.71
-43.91194484996448,-1.2952801724331784,32,0.735
-43.81004126995113,-1.2243599644707144,32,0.76
-43.72043999305031,-1.161919480524827,32,0.785
-43.6417061362695,-1.1069886321085103,32,0.81
-85.39821095657075,-24.921657335589906,32,0.01
-61.575069493993915,-12.26225591491043,32,0.035
-55.48496369022352,-8.810016166914053,32,0.06
-52.30503792706842,-6.9423145746083845,32,0.085
-50.26231762100455,-5.712643819163717,32,0.11
-48.80311739641129,-4.817831889228553,32,0.135
-47.69014045009431,-4.125279552854019,32,0.16
-46.80233297761547,-3.56619191232304,32,0.185
-46.07056896119248,-3.100718039499552,32,0.21
-45.452099368697006,-2.703906698485889,32,0.235
-44.918862045932315,-2.3592005189037373,32,0.26
-44.45155914531142,-2.0551032150669304,32,0.285
-44.03641481613138,-1.783336817844727,32,0.31
-43.663288663366075,-1.5377598215733528,32,0.335
-43.32452302051696,-1.313700826570898,32,0.36
-43.0142103168364,-1.1075320442219445,32,0.385
-42.72771298071551,-0.9163882058161426,32,0.41
-42.46134232530266,-0.7379778574601583,32,0.435
-42.212142597192525,-0.5704564791801919,32,0.46
-41.97774892783731,-0.4123437603968852,32,0.485
-41.756301357580526,-0.2624751447723329,32,0.51
-41.54640499540381,-0.11998236255654651,32,0.535
-41.34712947925691,0.0157006687015477,32,0.56
-41.158037428266496,0.14481287618983918,32,0.585
-40.97921790349602,0.26723797995622167,32,0.61
-40.81127613457539,0.38250681952557686,32,0.635
-40.655209255477104,0.48987905437609025,32,0.66
-40.51211976399848,0.5885388346954088,32,0.685
-40.38281829912022,0.6778700943324392,32,0.71
-40.267488399420266,0.7576920407403737,32,0.735
-40.1655851003084,0.8283339667634113,32,0.76
-40.07598407243758,0.8905352945775168,32,0.785
-39.997250436060504,0.9452602931497818,32,0.81
-16.550358136023775,-7.048486060766599,30.300485610961914,0.0848
-19.314852724980632,-13.688189697422377,30.314544677734375,0.1534
-16.578978153880634,-13.38980705932942,30.336458206176758,0.1139
-20.177417653490277,-12.191742275226618,40.57435989379883,0.106
